feature_0,feature_1,feature_2,feature_3,target
0.9,2.1,0.8,0.2,1.4111115
2.4,0.6,0.8,0.0,2.795156
3.0,2.1,0.6,0.0,2.3794343
2.1,1.8,0.2,0.0,1.2095237
2.7,0.3,0.0,0.0,3.8466232
1.2,2.1,0.0,0.0,2.4223874
0.3,2.7,0.4,0.0,2.1445076
2.1,1.8,0.4,0.0,1.308241
1.2,0.9,0.6,0.2,1.5063382
1.8,2.4,0.2,0.0,2.446898
1.2,2.7,0.4,0.0,2.6925614
0.6,2.7,0.8,0.0,2.3884788
0.9,0.0,0.8,0.0,2.2409847
1.5,1.2,0.8,0.4,1.0821787
1.8,1.8,0.6,0.2,1.3870747
2.4,1.8,0.6,0.4,1.1430078
1.2,0.3,0.0,0.0,3.2634778
3.0,1.5,0.6,0.0,1.4629098
0.0,0.0,0.6,0.0,2.5098403
2.1,0.3,0.8,0.0,2.512975
0.0,2.4,0.8,0.2,1.944762
1.5,3.0,0.0,0.0,3.4781194
1.2,3.0,0.0,0.0,3.1718867
3.0,0.3,0.8,0.4,1.71816
1.2,2.1,0.6,0.0,1.4971333
1.8,0.3,0.6,0.0,2.011925
0.3,1.2,0.6,0.2,1.9817839
1.2,2.1,0.2,0.0,1.1127306
0.0,1.8,0.6,0.2,1.270576
1.2,2.7,0.8,0.0,2.7894073
1.8,0.3,0.4,0.0,2.215955
2.1,1.5,0.8,0.4,1.3754535
1.5,2.4,0.4,0.0,2.3322272
2.7,1.2,0.4,0.0,1.9760554
1.2,2.1,0.8,0.2,1.4897603
0.9,2.1,0.6,0.0,1.4101168
2.1,2.1,0.2,0.0,2.5696719
1.8,2.7,0.4,0.0,2.3233626
0.9,1.8,0.6,0.0,1.4889882
0.3,0.3,0.4,0.0,2.2849884
0.3,1.5,0.8,0.2,1.6019852
0.0,2.4,0.0,0.0,3.5339887
1.5,1.5,0.8,0.2,1.5938027
3.0,0.6,0.8,0.4,1.8133016
1.5,2.1,0.6,0.2,1.4705775
3.0,1.5,0.8,0.4,1.3710579
0.6,1.5,0.2,0.0,1.2010161
2.4,2.1,0.0,0.0,3.3164334
0.0,2.7,0.0,0.0,3.7959063
1.2,0.9,0.2,0.0,2.4506636
0.0,3.0,0.4,0.0,2.1707516
1.8,0.6,0.6,0.0,1.8439882
