feature_0,feature_1,feature_2,feature_3,target
2.1,0.6,0.8,0.0,2.5251932
2.1,0.0,0.8,0.4,1.3355155
2.1,0.3,0.6,0.4,1.5221691
2.4,0.9,0.8,0.4,2.2032254
2.4,3.0,0.2,0.0,2.3537557
1.2,0.3,0.6,0.0,2.9323359
1.2,1.8,0.0,0.0,2.46271
2.1,3.0,0.6,0.0,2.3571768
3.0,0.0,0.6,0.2,1.5075123
3.0,1.2,0.2,0.0,1.7118428
0.9,1.5,0.6,0.4,1.1054121
0.0,0.3,0.8,0.2,1.6127018
0.0,2.7,0.4,0.0,2.222562
0.6,2.1,0.6,0.2,1.7450572
1.2,2.1,0.8,0.0,1.9359779
0.0,1.2,0.6,0.2,2.0937808
3.0,2.4,0.8,0.0,2.1860712
0.3,0.0,0.0,0.0,3.5168054
2.4,0.0,0.4,0.2,2.2451763
0.9,1.8,0.8,0.4,1.3326516
2.4,1.2,0.8,0.0,2.5951967
0.6,0.6,0.4,0.0,2.6146474
0.0,0.0,0.6,0.2,1.3143077
1.8,0.6,0.8,0.0,1.69023
2.1,0.0,0.4,0.0,2.3711627
3.0,1.2,0.0,0.0,3.0781744
0.3,1.5,0.2,0.0,1.2007644
1.2,1.8,0.8,0.0,1.9126165
2.4,1.8,0.8,0.0,1.8037392
1.8,1.2,0.6,0.2,1.5999469
1.5,1.5,0.6,0.2,1.3406898
0.6,1.8,0.6,0.0,1.4703683
0.3,1.8,0.4,0.0,1.2589027
2.7,2.1,0.6,0.2,1.9877111
2.7,2.1,0.2,0.0,2.117616
0.9,2.1,0.8,0.0,1.820559
0.3,1.5,0.0,0.0,2.497938
0.9,1.5,0.8,0.0,1.8368679
1.8,0.6,0.8,0.2,1.3923213
0.0,1.8,0.8,0.4,1.2595954
3.0,0.6,0.6,0.2,1.8385339
1.5,0.3,0.8,0.2,1.2727305
0.3,3.0,0.4,0.0,2.230059
0.3,0.3,0.6,0.0,2.3538702
2.7,0.6,0.2,0.0,2.1152766
1.8,0.3,0.2,0.0,2.5581143
2.7,0.0,0.8,0.0,2.7135065
0.9,1.2,0.6,0.2,1.6585873
2.1,1.2,0.8,0.2,2.2207875
2.1,2.4,0.8,0.2,2.497227
2.1,2.7,0.8,0.2,2.4048185
3.0,0.9,0.8,0.2,2.2870867
2.4,2.4,0.6,0.2,1.3708035
1.2,1.5,0.4,0.0,1.2903897
2.1,2.4,0.2,0.0,2.432776
0.0,2.4,0.6,0.0,2.4249425
0.3,0.9,0.4,0.0,2.191492
1.8,2.4,0.4,0.0,2.2639384
0.0,0.3,0.4,0.0,1.8655645
2.1,0.0,0.6,0.2,1.5920264
2.7,0.3,0.6,0.0,2.5946317
2.1,3.0,0.6,0.2,1.7638643
0.3,2.4,0.8,0.0,2.8153863
0.3,0.3,0.8,0.2,1.1070869
0.3,1.8,0.4,0.2,1.1425639
2.1,1.2,0.4,0.0,1.9501865
3.0,1.8,0.8,0.2,1.4800934
2.1,1.8,0.6,0.2,1.3870634
2.7,2.4,0.8,0.2,1.5994864
1.8,1.2,0.6,0.0,1.7033169
1.5,3.0,0.6,0.0,2.835276
3.0,0.6,0.4,0.0,2.202191
3.0,2.1,0.6,0.2,2.0528436
2.1,2.4,0.6,0.4,2.2476864
1.8,0.0,0.6,0.0,2.1628733
0.6,0.9,0.4,0.0,2.4134498
2.1,1.2,0.2,0.0,1.7359033
3.0,0.3,0.8,0.2,1.8296685
2.4,1.2,0.4,0.2,1.8273367
0.6,1.8,0.4,0.2,1.1750546
0.0,3.0,0.0,0.0,3.8245025
1.5,0.3,0.6,0.2,1.0713093
2.4,0.9,0.4,0.2,2.0104198
1.5,0.3,0.6,0.0,1.9057899
2.4,2.1,0.6,0.0,3.5595608
2.1,1.2,0.8,0.0,2.509342
2.7,1.2,0.8,0.0,2.6415932
0.9,1.2,0.4,0.2,1.3965144
1.2,2.7,0.0,0.0,3.2194085
3.0,3.0,0.8,0.0,2.7069051
0.0,2.7,0.8,0.2,1.6996179
0.6,2.1,0.8,0.0,2.467382
2.4,1.2,0.6,0.0,2.1735156
1.8,2.4,0.6,0.0,2.4134564
3.0,0.6,0.8,0.0,3.064445
0.0,2.1,0.6,0.0,2.2595298
2.7,0.6,0.0,0.0,3.5817
0.6,1.8,0.8,0.0,1.8855412
0.9,2.1,0.4,0.0,1.2319852
3.0,3.0,0.8,0.2,1.7722858
2.7,2.1,0.4,0.0,1.6260003
0.0,3.0,0.6,0.2,1.3141644
0.0,1.8,0.0,0.0,2.2630787
3.0,0.9,0.6,0.2,2.0760047
0.0,1.5,0.8,0.2,1.5924075
3.0,3.0,0.0,0.0,3.6095576
0.3,0.9,0.8,0.2,2.1337326
0.0,1.5,0.2,0.0,1.1943201
1.2,2.4,0.8,0.4,1.2148168
2.1,0.6,0.6,0.4,1.4638885
0.3,3.0,0.2,0.0,1.9489917
1.2,0.9,0.4,0.0,2.31688
0.0,2.4,0.8,0.4,1.6586918
1.8,2.7,0.2,0.0,2.559573
1.5,0.9,0.8,0.2,1.1594465
2.7,1.8,0.0,0.0,2.5842822
2.7,0.9,0.8,0.0,2.926028
0.6,0.3,0.6,0.0,2.7641122
0.6,1.2,0.4,0.2,1.5062577
1.5,1.5,0.6,0.0,1.4595689
0.9,1.8,0.8,0.2,1.6064764
2.7,1.2,0.0,0.0,3.1123872
2.4,3.0,0.6,0.2,2.1969543
2.7,0.3,0.8,0.0,2.8978045
