feature_0,feature_1,feature_2,feature_3,target
2.1,0.6,0.8,0.0,2.4604812
2.1,0.0,0.8,0.4,1.4841794
2.1,0.3,0.6,0.4,1.1556132
2.4,0.9,0.8,0.4,1.6367104
2.4,3.0,0.2,0.0,2.5761008
1.2,0.3,0.6,0.0,2.682071
1.2,1.8,0.0,0.0,2.2133925
2.1,3.0,0.6,0.0,2.3717754
3.0,0.0,0.6,0.2,1.78681
3.0,1.2,0.2,0.0,2.6525147
0.9,1.5,0.6,0.4,0.9729476
0.0,0.3,0.8,0.2,1.8434179
0.0,2.7,0.4,0.0,2.0117798
0.6,2.1,0.6,0.2,1.6544757
1.2,2.1,0.8,0.0,1.8558575
0.0,1.2,0.6,0.2,1.7719951
3.0,2.4,0.8,0.0,2.5016787
0.3,0.0,0.0,0.0,2.8678808
2.4,0.0,0.4,0.2,1.8227332
0.9,1.8,0.8,0.4,1.093891
2.4,1.2,0.8,0.0,2.495913
0.6,0.6,0.4,0.0,2.9514787
0.0,0.0,0.6,0.2,1.7645985
1.8,0.6,0.8,0.0,2.3570836
2.1,0.0,0.4,0.0,2.62262
3.0,1.2,0.0,0.0,2.7122064
0.3,1.5,0.2,0.0,2.3167083
1.2,1.8,0.8,0.0,1.9940419
2.4,1.8,0.8,0.0,2.2828069
1.8,1.2,0.6,0.2,1.5180645
1.5,1.5,0.6,0.2,1.7767445
0.6,1.8,0.6,0.0,1.8736095
0.3,1.8,0.4,0.0,1.9761298
2.7,2.1,0.6,0.2,2.1962967
2.7,2.1,0.2,0.0,2.7622705
0.9,2.1,0.8,0.0,1.8426478
0.3,1.5,0.0,0.0,2.3915162
0.9,1.5,0.8,0.0,2.3902023
1.8,0.6,0.8,0.2,1.8205903
0.0,1.8,0.8,0.4,1.1446468
3.0,0.6,0.6,0.2,2.008561
1.5,0.3,0.8,0.2,1.7503755
0.3,3.0,0.4,0.0,2.0275836
0.3,0.3,0.6,0.0,1.9355388
2.7,0.6,0.2,0.0,2.4790115
1.8,0.3,0.2,0.0,2.8262677
2.7,0.0,0.8,0.0,1.9111394
0.9,1.2,0.6,0.2,1.3971106
2.1,1.2,0.8,0.2,1.8299106
2.1,2.4,0.8,0.2,2.6514008
2.1,2.7,0.8,0.2,2.5212793
3.0,0.9,0.8,0.2,2.1823149
2.4,2.4,0.6,0.2,2.4889033
1.2,1.5,0.4,0.0,2.183532
2.1,2.4,0.2,0.0,2.6211746
0.0,2.4,0.6,0.0,2.0165317
0.3,0.9,0.4,0.0,2.6747448
1.8,2.4,0.4,0.0,3.0112703
0.0,0.3,0.4,0.0,2.0815
